title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
Générique,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Générique de Fin1.mp3,"Electronic,Orchestral,Film",,
Générique,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Générique de Fin2.mp3,"Electronic,Orchestral,Film",,
Goeie Golf,Van Nueten,dance performance,Import/Export,2006,,,,,,/audio/Goeie Golf 1.mp3,"Electronic,Film",,
Gooi Weg Die Schone Jeugd,Van Nueten,musical theatre,Merg,2006,,,,,,/audio/Gooi Weg Die Schone Jeugd 1.mp3,"Electronic,Contemporary,Pop,Stage",,
Gooi Weg Die Schone Jeugd,Van Nueten,musical theatre,Merg,2006,,,,,,/audio/Gooi Weg Die Schone Jeugd 2.mp3,"Electronic,Contemporary,Pop,Stage",,
Grain of Sand,Vanderhaeghen-Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/Grain of Sand.mp3,"Pop,Song",…And Other True Stories,/albumcovers/…And Other True Stories.webp
Guillaume et Guy,Guillaume Lekeu (1870-1894),documentary,Le Choix de Peindre: Vincent van Gogh,2014,Guy Van Nueten,,,,,/audio/Guillaume et Guy.mp3,"Electronic,Orchestral,Film",,
Happy Family,Van Nueten,advertisement,X,2008,,,,,,/audio/Happy Family.mp3,"Electronic,Film",,
Happy Family,Van Nueten,advertisement,X,2008,,,,,,/audio/Happy Family2.mp3,"Electronic,Film",,
Hark! The E'ching Air,Settle (1648-1724)/Purcell (1659-1695),dance performance,bâche,2005,Guy Van Nueten & Steve Dugardin,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/Hark! The E'ching Air.mp3,"Song,Old Styles,Stage",bâche,/albumcovers/bâche.webp
Harry Irene,Captain Beefheart,,,2003,Tom Barman & Guy Van Nueten,Universal,"Stadsschouwburg, Rotterdam,  Netherlands, 5-04-2002",,,/audio/HarryIrene.mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Helende Loop,Gevaert-Van Nueten,,,,Vanity Project (2015),,,,,/audio/Helende Loop.mp3,"Rock,Pop",,
Hello Quincy,Van Nueten,,,,Vanity Project (2015),,,,,/audio/Hello Quincy.mp3,"Rock,Pop",,
Here Let My Life,Cowley (1618-1667)/Purcell (1659-1695),dance performance,bâche,2005,Guy Van Nueten & Steve Dugardin,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/Here Let My Life 1.mp3,"Song,Old Styles,Stage",bâche,/albumcovers/bâche.webp
Hey Babe,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Hey Babe 1.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
Hey Babe,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Hey Babe 2.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
HipHop 'The Fucker',Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/HipHop 'The Fucker'.mp3,"Electronic,Pop,Stage",,
,,,,,,,,,,/audio/Holltone.mp3,"Electronic,Stage,Minimal",,
How Many More Years,Howlin' Wolf (1910-1976),,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/How Many More Years.mp3,"Rock,Live,Pop",,
Hulde aan Dimitri (demo version),Van Nueten,,,,2016,,,,,/audio/Hulde aan Dimitri (demo version).mp3,"Piano,Classical,Contemporary",,
Hulde aan Dimitri,Van Nueten,,,2018,,Sony Classical,,,,/audio/Hulde aan Dimitri.mp3,"Piano,Classical,Contemporary,Stage",Contact,/albumcovers/Contact.webp
Hungry Again,Vanderhaeghen-Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/Hungry Again 1.mp3,"Pop,Song",…And Other True Stories,/albumcovers/…And Other True Stories.webp
Hungry Again,Vanderhaeghen-Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/Hungry Again 2.mp3,"Pop,Song",…And Other True Stories,/albumcovers/…And Other True Stories.webp
I Want You Too,Van Nueten,,,,Vanity Project (2015),,,,,/audio/I Want You Too.mp3,"Live,Pop,Song",,
I'm on My Way,Traditional,,,,Gregory Frateur & Guy Van Nueten,,"PXL, Hasselt, Belgium, 27-11-2011",,https://youtu.be/JM99feHBVAI,/audio/I'm on My Way.mp3,"Electronic,Pop,Rock",,
Iplus,Van Nueten,advertisement,X,2008,,,,,https://www.youtube.com/watch?v=5i5Plps7Rlw,/audio/IPlus.mp3,"Electronic,Film",,
Include Me Out,Barman,,,2005,dEUS,Universal/V2,,,https://www.youtube.com/watch?v=TuaHvkAA5ng&index=3&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg,/audio/Include Me Out1.mp3,"Song,Pop",Pocket Revolution,
Include Me Out,Barman,,,2005,dEUS,Universal/V2,,,https://www.youtube.com/watch?v=TuaHvkAA5ng&index=3&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg,/audio/Include Me Out2.mp3,"Song,Pop",Pocket Revolution,
Inevitable Conclusion,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Inevitable Conclusion.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Interludium,Van Nueten,puppet theatre,'t Beest,2000,,,,,,/audio/Interludium 2 1.mp3,"Electronic,Stage",,
Into The Woods (alt version),Van Nueten,short movie,Gentle Creature,2009,"Solists of the Flemish Opera, directed by Bart Van Reyn",,,,,/audio/Into The Woods (alt version.mp3,"Contemporary,Film,Orchestral",,
Into The Woods,Van Nueten,short movie,Gentle Creature,2009,"Solists of the Flemish Opera, directed by Bart Van Reyn",,,,,/audio/Into the Woods.mp3,"Contemporary,Orchestral,Film",,
Intrigue,Carlens,,,2009,Zita Swoon,Chicaree Records,,,,/audio/Intrigue 1.mp3,"Song,Pop","To Play, To Dream, To Drift, An Anthology",
Intrigue,Carlens,,,2009,Zita Swoon,Chicaree Records,,,,/audio/Intrigue 2.mp3,"Song,Pop","To Play, To Dream, To Drift, An Anthology",
Intrigue,Carlens,,,2009,Zita Swoon,Chicaree Records,,,,/audio/Intrigue 3.mp3,"Song,Pop","To Play, To Dream, To Drift, An Anthology",
Thuiskomst,Van Nueten,feature film,Milo,2012,"Milo Chamber Orchestra, directed by Dirk De Caluwé",,,,,/audio/Intro thuiskomst.mp3,"Old Styles,Contemporary,Orchestral,Film",,
Inventio 13,J.S. Bach (1685-1750),,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,https://youtu.be/cotY2Cb6bIw,/audio/Inventio 13.mp3,"Piano,Old Styles",Pacman,/albumcovers/Pacman.webp
Inventio 6,J.S. Bach (1685-1750),,,2009,Guy Van Nueten,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,,/audio/Inventio 6.mp3,"Piano,Baroque,Old Styles",Merg,/albumcovers/Merg.webp
Iokanan 14,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Iokanan 14.mp3,"Electronic,Pop,Stage",,
Iokanan 18,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Iokanan 18.mp3,"Electronic,Stage,Minimal",,
,,,,,,,,,,/audio/Iokanan 2.mp3,"Electronic,Stage,Minimal",,
Iokanan 7A,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Iokanan 7A.mp3,"Electronic,Contemporary,Stage,Minimal",,
Iokanan 8,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Iokanan 8.mp3,"Electronic,Film,Minimal",,
Isomorfie Nr.2 -  I. Voorspel,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Isomorfie Nr.2.mp3,"Piano,Old Styles,Contemporary",Pacman,/albumcovers/Pacman.webp
Isomorfie Nr.3 -  II. Afrikaans Allegro,Van Nueten,,,2018,,Sony Classical,,,,/audio/Isomorfie nr.3 II Afrikaans Allegro.mp3,"Piano,Old Styles,Contemporary",Contact,/albumcovers/Contact.webp
Isomorfie Nr3 - III. Middeleeuws Naspel,Van Nueten,,,2018,,Sony Classical,,,,/audio/Isomorfie nr3 III Middeleeuws Naspel.mp3,"Piano,Old Styles,Contemporary,Baroque",Contact,/albumcovers/Contact.webp
It's not the Drug,Vanhamel,,,,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/It's not the Drug1.mp3,"Live,Pop,Song",,
It's not the Drug,Vanhamel,,,,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/It's not the Drug2.mp3,"Live,Pop,Song",,
Jaguar,Van Nueten,short movie,Jaguar,2003,,,,,,/audio/Jaguar 1.mp3,"Pop,Film",,
Josephine Baker,Vanderhaeghen-Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/Josephine Baker.mp3,"Pop,Song",…And Other True Stories,/albumcovers/…And Other True Stories.webp
Klaaglied (demo version),Van Nueten,feature film,Night Has Come,2017,,,,,,/audio/Klaaglied.mp3,"Piano,Contemporary,Film",,
Korte Metaalstudie,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Korte Metaalstudie.mp3,"Old Styles,Contemporary,Metal",Pacman,/albumcovers/Pacman.webp
Kristine,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Kristine 1.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
Kristine,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Kristine 2.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
La Vie Continue,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/La Vie Continue.mp3,"Piano,Contemporary,Film",,
Laat Me Nu Toch Niet Alleen,Carlos Avila,,,,Gregory Frateur & Guy Van Nueten,,"PXL, Hasselt, Belgium, 27-11-2011",,,/audio/Laat Me Nu Toch Niet Alleen.mp3,"Live,Pop,Song",,
Lalalàla,Van Nueten,puppet theatre,'t Beest,2000,,,,,,/audio/Lalalàla 1.mp3,"Electronic,Stage",,
Le Poinçonneur des Lilas,Serge Gainsbourg,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/Le Poinçonneur des Lilas 1.mp3,"Song,Orchestral,Pop,Live",,
Le Poinçonneur des Lilas,Serge Gainsbourg,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/Le Poinçonneur des Lilas 2.mp3,"Song,Orchestral,Pop,Live",,
Le Poinçonneur des Lilas,Serge Gainsbourg,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/Le Poinçonneur des Lilas 3.mp3,"Song,Orchestral,Pop,Live",,
Le Poinçonneurs des Lilas,Serge Gainsbourg,,,2003,Tom Barman & Guy Van Nueten,Universal,"Stadsschouwburg, Rotterdam,  Netherlands, 5-04-2002",,https://www.youtube.com/watch?v=meza1krff88,/audio/Le Poinçonneurs des Lilas (duo).mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Leer Mij Dansen,Van Nueten,puppet theatre,t Beest,2000,,,,,,/audio/Leer Mij Dansen.mp3,"Electronic,Pop",,
Lento Pacifico (demo version),Van Nueten,,,,2016,,,,,/audio/Lento Pacifico (demo version).mp3,"Piano,Classical,Contemporary",Lento Pacifico,/albumcovers/Lento Pacifico.webp
Lento Pacifico,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/album/3LMaYpcxWHrzwaQoN7C8KH,,/audio/Lento Pacifico.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Lichtlied,Dendooven-Van Nueten,musical,Soepkinders,2005,"Tine Embrechts, Simone Milsdochter & The Soup Group",,"CC Kortrijk, Belgium, 28-04-2006",,,/audio/Lichtlied.mp3,"Pop,Old Styles,Stage,Song,Live",,
Lied van de Fee,Dendooven-Van Nueten,musical,Het Takkenkind,2010,Tine Embrechts & Guy Van Nueten,,,,,/audio/Lied van de Fee.mp3,"Live,Pop,Song",,
Little Girl Blue,Rodgers-Hart,,,,Gregory Frateur & Guy Van Nueten,,"PXL, Hasselt, Belgium, 27-11-2011",,,/audio/Little Girl Blue.mp3,"Live,Pop,Song",,
Living The Way You Should,Vanhamel,,,2008,Tim Vanhamel,PIAS,,,https://www.youtube.com/watch?v=zrNPOb1K8Fg&t=0s&index=3&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg,/audio/Living The Way You Should1.mp3,"Song,Pop",Welcome to the Blue House,
Living The Way You Should,Vanhamel,,,2008,Tim Vanhamel,PIAS,,,https://www.youtube.com/watch?v=zrNPOb1K8Fg&t=0s&index=3&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg,/audio/Living The Way You Should2.mp3,"Song,Pop",Welcome to the Blue House,
Love,Vanderhaeghen-Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Love.mp3, ,…And Other True Stories,/albumcovers/…And Other True Stories.webp
Lullaby,Vanderhaeghen-Van Nueten,,,2009,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/Lullaby 1.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
Lullaby,Vanderhaeghen-Van Nueten,,,2009,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/Lullaby 2.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
Magritte,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Magritte.mp3,"Electronic,Pop,Film",,
Maria Klimop,Dendooven-Van Nueten,musical,Soepkinders,2004,Gert Jochems & The Soup Group,,"CC Kortrijk, Belgium, 28-04-2006",,,/audio/Maria Klimop.mp3,"Pop,Stage,Song,Live",,
Maurice,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Maurice (korter).mp3,"Piano,Film",,
Maurice,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Maurice.mp3,"Piano,Film",,
Meester Luc,Van Nueten,,,2007,Little Graduates & Guy Van Nueten,,"Kleuterschool 'Het Beertje', Antwerp, Belgium, June 2007",,,/audio/Meester Luc.mp3,"Pop,Stage,Live",,
Memory of a Free Festival,David Bowie,,,2003,Tom Barman & Guy Van Nueten,Universal,"Stadsschouwburg, Amsterdam, Netherlands, 16-02-2002",,,/audio/Memory of a Free Festival.mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Merg Var II,Van Nueten,,,2009,,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,,/audio/Merg Var II.mp3, ,Merg,/albumcovers/Merg.webp
Merk Toch Hoe Sterk,Traditional,,,2006,Guy Van Nueten (2006),,,,,/audio/Merk Toch Hoe Sterk 1.mp3,"Old Styles,Song",,
Merk Toch Hoe Sterk,Traditional,,,,Guy Van Nueten (2006),,,,,/audio/Merk Toch Hoe Sterk 2.mp3,"Old Styles,Song",,
Mickey's Ruins,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Mickey's Ruins1.mp3,"Film,Orchestral,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Mickey's Ruins,Van Nueten,feature film,Milo,,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Mickey's Ruins2.mp3,"Film,Orchestral,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Mijnheer X,Van Nueten,,,2018,,Sony Classical,,,,/audio/Mijnheer X.mp3,"Piano,Old Styles,Contemporary",Contact,/albumcovers/Contact.webp
Confrontatie,Van Nueten,feature film,Milo,2012,"Milo Chamber Orchestra, directed by Dirk De Caluwé",,,,,/audio/Milo Confrontatie papa.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Milo Exit Music,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Milo Exit Music.mp3,"Old Styles,Contemporary,Orchestral,Film",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Vechtpartij,Van Nueten,feature film,Milo,2012,"Milo Chamber Orchestra, directed by Dirk De Caluwé",,,,,/audio/Milo Vechtpartij (normaal).mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Vechtpartij,Van Nueten,feature film,Milo,2012,"Milo Chamber Orchestra, directed by Dirk De Caluwé",,,,,/audio/Milo Vechtpartij.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Milo en Sterre,Van Nueten,feature film,Milo,2012,"Milo Chamber Orchestra, directed by Dirk De Caluwé",,,,,/audio/Milo en Sterre.mp3,"Old Styles,Contemporary,Orchestral,Film",,
Milo's Theme,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,https://www.youtube.com/watch?v=9ezYQan_cns&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE&index=3&t=0s,/audio/Milo's Theme1.mp3,"Old Styles,Contemporary,Orchestral,Film",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Milo's Theme,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,https://www.youtube.com/watch?v=9ezYQan_cns&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE&index=3&t=0s,/audio/Milo's Theme2.mp3,"Old Styles,Contemporary,Orchestral,Film",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Mitsoobishy Jackson,Houben-Deweze-Pawlowski,,,1999,Mitsoobishy Jacson,Heavenhotel,,,,/audio/Mitsoobishy Jacson.mp3, ,Boys Together Outrageously,
Mitsoobishy Jackson,Houben-Deweze-Pawlowski,,,1999,Mitsoobishy Jacson,Heavenhotel,,,,/audio/Mitsoobsishy Jacson2.mp3,"Song,Pop",Boys Together Outrageously,
Mixed Celtic Emotions,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Mixed Celtic Emotions.mp3,"Film,Orchestral,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Moleirinha House,Traditional,musical theatre,Hotel Tomilho,2004,,,,,,/audio/Moleirinha house.mp3, ,,
Montage,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Montage 1.mp3,"Electronic,Stage",,
MoogPuls 4,Van Nueten,feature film,Pulsar,2010,,,,,https://www.youtube.com/watch?v=WQFt8-ydpQI&t=0s&list=PLsmvutRI5QqWe2xlZh1niJ6ZAG-nbi1xI&index=3,/audio/MoogPuls 4.mp3,"Electronic,Film,Minimal",,
MoogPuls,Van Nueten,feature film,Pulsar,2010,,,,,https://www.youtube.com/watch?v=WQFt8-ydpQI&t=0s&list=PLsmvutRI5QqWe2xlZh1niJ6ZAG-nbi1xI&index=3,/audio/MoogPuls.mp3,"Electronic,Film,Minimal",,
Mr. Stoffer's Solo,Van Nueten,dance performance,bâche,2005,,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/Mr. Stoffer's Solo 1.mp3,"Contemporary,Electronic,Stage,Minimal",bâche,/albumcovers/bâche.webp
Mummified,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Mummified.mp3,"Electronic,Film",,
Mummy,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Mummy.mp3,"Electronic,Contemporary,Film",,
Music for a While,Dryden-Lee/ Purcell (1659-1695),dance performance,bâche,2005,Guy Van Nueten & Steve Dugardin,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/Music for a While 1.mp3,"Song,Old Styles,Stage",bâche,/albumcovers/bâche.webp
My Funny Valentine,Rodgers-Hart,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/My Funny Valentine 1.mp3,"Song,Orchestral,Pop,Live",,
My Funny Valentine,Rodgers-Hart,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/My Funny Valentine 2.mp3,"Song,Orchestral,Pop,Live",,
Nachtwandeling,Van Nueten,film,Eva Reste Au Placard Les Nuits de Pleine Lune,2006,,,,,,/audio/Nachtwandeling 1.mp3,"Piano,Film",,
Nel Mezzo del Camin,Van Nueten,musical theatre,De 7 hoofdzonden,2009,"Darling Nikki, Vocamabile & 7 celli",,,,,/audio/Nel Mezzo del Camin 1.mp3,"Contemporary,Orchestral,Stage",,
Nel Mezzo del Camin,Van Nueten,musical theatre,De 7 hoofdzonden,2009,"Darling Nikki, Vocamabile & 7 celli",,,,,/audio/Nel Mezzo del Camin.mp3,"Contemporary,Orchestral,Stage",,
Nightfall,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Nightfall.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Nightmare,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Nightmare1.mp3,"Electronic,Stage,Minimal",,
Nightmare,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Nightmare2.mp3,"Electronic,Stage,Minimal",,
Nothing,Van Nueten,musical theatre,The Medium,2015,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",Universal,,,,/audio/Nothing Really Ends (duo).mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Nothing Really Ends,Tom Barman,,,2003,Tom Barman & Guy Van Nueten,Universal,"Jazz-Café, London, UK, 12-02-2002",,,/audio/Nothing Really Ends.mp3,"Song,Orchestral,Pop,Live",Live,/albumcovers/Live.webp
Nothing,Van Nueten,musical theatre,The Medium,2015,,,,,,/audio/Nothing.mp3,"Contemporary,Stage",,
O Solitude,Philips (1631-1664)/Purcell (1659-1695),dance performance,bâche,2005,Guy Van Nueten & Steve Dugardin,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/O Solitude.mp3,"Song,Electronic,Old Styles,Stage",bâche,/albumcovers/bâche.webp
Ombre de Mon Amant,Michel Lambert (1610-1696),dance performance,Import/Export,2006,Kirke String Quartet,,,,,/audio/Ombre de Mon Amant 1.mp3,"Old Styles,Stage",,
Opening Stereo,Van Nueten,theatre piece,Het Beest,2000,,,,,,/audio/Opening Stereo 1.mp3,"Electronic,Minimal,Stage",,
Orkest 1 take 2,Van Nueten,musical theatre,Maria Magdalena,2008,Guy Van Nueten,,,,,/audio/Orkest 1 take 2.mp3,"Electronic,Stage,Minimal",,
Otesánek Variatie,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Otesánek Variatie.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
Otesánek,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Otesánek.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
Ouverture,Van Nueten,musical theatre,The Medium,2015,,,,,,/audio/Ouverture.mp3,"Electronic,Stage",,
Pacman I. Tijdelijke Controle,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Pacman I Tijdelijke Controle.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
Pacman II. Wederopstanding,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,https://www.youtube.com/watch?v=BhmzuuiaTeg&t=0s&list=PLsmvutRI5QqUYkIcZoK0iDImB7G4cgisR&index=3,/audio/Pacman II Wederopstanding.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
Pacman III. Droefheid,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Pacman III Droefheid.mp3,"Piano,Old Styles,Contemporary",Pacman,/albumcovers/Pacman.webp
Pacman IV. Glorierijk Einde,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Pacman IV Glorierijk Einde.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
Pâques au Tisons,Mercelis-Van Nueten,movie,Pâques au Tison,2002,Zon and Zero,,,,,/audio/Paques au Tisons (Thema 2).mp3,"Electronic,Film,Minimal",,
Patriciascape,Van Nueten,musical theatre,Hotel Tomilho,2004,,,,,,/audio/Patriciascape.mp3, ,,
Pegasus God Cloth,Faltakh-Tsakiridis-Vanhamel,,,2015,The Hickey Underworld,PIAS,,,,/audio/Pegasus God Cloth.mp3,"Song,Pop",III,
PianoBarbeAube,Van Nueten,documentary,Le Choix de Peindre: Vincent van Gogh,2014,,,,,,/audio/PianoBarbeAube.mp3,"Piano,Minimal,Film",,
Pocket Revolution,Barman-Pawlowski-Janzoons-Misseghers-Gevaert,,,2005,dEUS,Universal/V2,,,,/audio/Pocket Revolution A.mp3,"Song,Pop",Pocket Revolution,
Pocket Revolution,Barman-Pawlowski-Janzoons-Misseghers-Gevaert,,,2005,dEUS,Universal/V2,,,,/audio/Pocket Revolution B.mp3,"Song,Pop",Pocket Revolution,
Pocket Revolution,Barman-Pawlowski-Janzoons-Misseghers-Gevaert,,,2005,dEUS,Universal/V2,,,,/audio/Pocket Revolution.mp3,"Song,Pop",Pocket Revolution,
Politieke Promenades,Van Nueten,silent movie,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,,/audio/Politieke Promenades.mp3,"Piano,Film","Bruxelles, Ville en Images",
