title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
Bearded Men,Criscietello-Van Nueten,,,,Vanity Project (2017),,,,,/audio/Bearded Men 4.mp3,"Electronic,Pop",,
Bearded Men,Criscietello-Van Nueten,,,,Vanity Project (2017),,,,,/audio/Bearded Men.mp3,"Electronic,Pop",,
Beer,Pawlowski-Deweze-Houben,,,1999,Mitsoobsishy Jacson,Heavenhotel,,,,/audio/Beer1.mp3,"Song,Pop",Boys Together Outrageously,
Beer,Pawlowski-Deweze-Houben,,,1999,Mitsoobsishy Jacson,Heavenhotel,,,,/audio/Beer2.mp3,"Song,Pop",Boys Together Outrageously,
Between The Bars,Elliott Smith,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,,/audio/Between The Bars.mp3,"Live,Pop,Song",,
Bevrijd Ons van het Nationalisme,Gevaert-Van Nueten,,,,Vanity Project,,"Bar du Matin, 25-10-2015, Bozar Brussels, Belgium",,https://youtu.be/jrIqkGmiDyc,/audio/Bevrijd Ons van het Nationalisme.mp3,"Rock,Live,Pop",,
Bird of Death,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Bird of Death Intro.mp3,"Electronic,Stage,Minimal",,
Bird of Death,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Bird of Death Outro.mp3,"Electronic,Stage,Minimal",,
Black Swan,Giancarlo Menotti (1911-2007),opera,The Medium,2014,,,,,,/audio/Black Swan.mp3,"Electronic,Classical,Contemporary,Stage",,
Boots,Stuyven,,,1999,Daan,Heavenhotel,,,,/audio/Boots.mp3,"Pop,Song,Electronic",Profools,
Botermelk,Dendooven-Van Nueten,musical,Soepkinders,2005,Charlotte Vandermeersch & The Soup Group,,"CC Kortrijk, Belgium, 28-04-2005",,https://www.youtube.com/watch?v=a6PiRxzfTN4&t=0s&index=5&list=PLsmvutRI5QqW9uZ-ru8GQwx5J0aX3okce,/audio/Botermelk.mp3,"Electronic,Stage,Song,Live",,
Boudewijn,Van Nueten,feature film,Ex-Drummer,2006,Guy Van Nueten & Kirke String Quartet,,,,https://www.youtube.com/watch?v=PO6pE0ughXo&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE&index=5&t=0s,/audio/Boudewijn.mp3,"Old Styles,Contemporary,Film",,
Box-Shaped Lullaby,Deweze,,,2002,Sukilove,Hidden Agenda Records,,,,/audio/Box-Shaped Lullaby.mp3,"Electronic,Pop",,
Brand and his Dad,Van Nueten,feature film,Milo,2012,"Milo Chamber Orchestra, directed by Dirk De Caluwé",,,, ,/audio/Brand en zn Pa sample.mp3,"Old Styles,Contemporary,Orchestral,Film",,
Bridge Burner,Stuyven,,,2002,Daan,Tracks,,,,/audio/Bridge Burner.mp3,"Pop,Song,Electronic",Bridge Burner,
Bruxelles Circulation,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,https://www.youtube.com/watch?v=TWs8CxdQaag&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE&index=6,/audio/Bruxelles Circulation.mp3,"Piano,Contemporary,Film","Bruxelles, Ville en Images",
Ca c'est Bruxelles,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,,/audio/Ca c'est Bruxelles1.mp3,"Piano,Contemporary,Film","Bruxelles, Ville en Images",
